Resource,Mine Type,Location Name,Standard Measure,Annual Location Capacity in Standard Measure,January PPU,Yearly Location Value,Capacity of Location in Kilograms,Price Per Kilogram,Longitude,Latitude,Precision Code
Cement,,,1000,318000.0,,,,,,,
Cement,,,1000,360000.0,,,,,,,
Cement,,,1000,50000.0,,,,,,,
Cement,,,1000,200000.0,,,,,,,
Coalbituminouscoal,,,1000,800000.0,,,,,,,
Diamond,,,0.0002,10000000.0,,,,,,,
Diamonde,,,0.0002,27000000.0,,,,,,,
Gold,,,0.0002,4800.0,3.5356819016451566,,,,,,
GoldNA,,,0.0002,,,,,,,,
Niobium and tantalumNA,,,1000,,,,,,,,
Petroleumcrude,,,,5480.0,,,,,,,
Petroleumcrude,,,,3650.0,,,,,,,
Petroleumrefined,,,,6200.0,,,,,,,
Silver,,,1,62000.0,293.8288879653479,,,,,,
SulfurNA,,,1,,,,,,,,
TinNA,,,1,,,,,,,,
TungstenNA,,,1,,,,,,,,
Zinczincinzincoxide,,,1,15000.0,2.0903,,,,,,
Zinc,,,1,30000.0,2.0903,,,,,,
Zinc,,,1,72000.0,2.0903,,,,,,
Cement,,,1000,318000.0,,,318000000.0,,,,
Cement,,,1000,360000.0,,,360000000.0,,,,
Cement,,,1000,50000.0,,,50000000.0,,,,
Cement,,,1000,200000.0,,,200000000.0,,,,
Coalbituminouscoal,,,1000,800000.0,,,800000000.0,,,,
Diamond,,,0.0002,10000000.0,,,2000.0,,,,
Diamonde,,,0.0002,27000000.0,,,5400.0,,,,
Gold,,,0.0002,4800.0,3.5356819016451566,16971.27312789675,0.9600000000000001,17678.40950822578,,,
GoldNA,,,0.0002,,,,,,,,
Niobium and tantalumNA,,,1000,,,,,,,,
Petroleumcrude,,,,5480.0,,,,,,,
Petroleumcrude,,,,3650.0,,,,,,,
Petroleumrefined,,,,6200.0,,,,,,,
Silver,,,1,62000.0,293.8288879653479,18217391.05385157,62000.0,293.8288879653479,,,
SulfurNA,,,1,,,,,,,,
TinNA,,,1,,,,,,,,
TungstenNA,,,1,,,,,,,,
Zinczincinzincoxide,,,1,15000.0,2.0903,31354.5,15000.0,2.0903,,,
Zinc,,,1,30000.0,2.0903,62709.0,30000.0,2.0903,,,
Zinc,,,1,72000.0,2.0903,150501.6,72000.0,2.0903,,,
